datetime,experimentid_x,ph,temperature_oc,par_umol_photons_m2_s,dissolved_oxygen_mg_l,airtemp_oc,global_light_energy_w_m2,humid_rh,wdspd_m_s,month
2016-10-19 17:15:00,AFS_ASU_Fall2016_KA32_seedtrain,6.79,24.6,141.343,11.53,32.3,187,17.9,0.833333333,10
2016-10-19 17:30:00,AFS_ASU_Fall2016_KA32_seedtrain,6.88,24.7,54.6119,10.91,31.5,138,18.6,0.833333333,10
2016-10-19 17:45:00,AFS_ASU_Fall2016_KA32_seedtrain,6.95,24.4,19.70952,10.3,30.5,88,20.1,0.277777778,10
2016-10-19 18:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.02,24.2,4.744832,9.74,30.0,37,20.4,0.0,10
2016-10-19 18:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.09,24.1,2.691813,9.22,29.2,10,22.5,0.0,10
2016-10-19 18:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.15,23.9,2.600557,8.78,28.2,2,23.5,0.0,10
2016-10-19 18:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.21,23.8,2.418044,8.47,27.3,1,25.0,0.0,10
2016-10-19 19:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.26,23.6,2.463637,8.24,26.7,1,24.7,0.0,10
2016-10-19 19:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.31,23.5,2.50937,8.06,26.3,1,24.9,0.0,10
2016-10-19 19:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.36,23.3,2.50937,8.0,26.1,1,25.8,0.0,10
2016-10-19 19:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.41,23.1,2.50937,7.9,25.8,1,26.3,0.0,10
2016-10-19 20:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.44,22.9,2.463637,7.9,25.8,1,26.3,0.0,10
2016-10-19 20:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.48,22.8,2.418044,7.82,25.9,1,26.4,0.277777778,10
2016-10-19 20:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.51,22.6,2.418044,7.83,25.7,1,26.6,0.0,10
2016-10-19 20:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.54,22.5,2.418044,7.8,24.8,1,27.6,0.0,10
2016-10-19 21:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.57,22.3,2.418044,7.83,23.9,1,28.5,0.0,10
2016-10-19 21:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.59,22.1,2.372381,7.81,23.5,1,28.1,0.277777778,10
2016-10-19 21:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.62,21.9,2.372381,7.83,22.9,1,28.9,0.0,10
2016-10-19 21:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.64,21.7,2.326788,7.84,22.8,1,28.6,0.0,10
2016-10-19 22:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,21.5,2.326788,7.89,22.2,1,29.1,0.0,10
2016-10-19 22:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,21.3,2.326788,7.84,21.7,1,30.6,0.0,10
2016-10-19 22:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,21.1,2.281195,7.65,21.4,1,32.1,0.0,10
2016-10-19 22:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.9,2.326788,7.53,21.5,1,30.7,0.0,10
2016-10-19 23:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.8,2.326788,7.43,21.2,1,31.2,0.0,10
2016-10-19 23:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.6,2.326788,7.35,20.9,1,33.1,0.0,10
2016-10-19 23:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.68,20.4,2.326788,7.28,20.9,1,32.8,0.0,10
2016-10-19 23:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.2,2.281195,7.26,21.5,1,30.3,0.277777778,10
2016-10-22 00:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.79,20.4,2.418044,5.06,23.6,1,26.8,0.0,10
2016-10-22 00:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.78,20.1,2.418044,5.12,23.2,1,27.6,0.0,10
2016-10-22 00:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.77,20.0,2.372381,5.17,23.0,1,28.2,0.0,10
2016-10-22 01:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.77,19.9,2.372381,5.23,23.2,1,28.2,0.833333333,10
2016-10-22 01:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.76,19.8,2.326788,5.28,23.1,1,28.8,0.0,10
2016-10-22 01:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.76,19.6,2.418044,5.33,23.2,1,29.1,0.277777778,10
2016-10-22 01:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.76,19.5,2.372381,5.38,23.3,1,29.4,0.833333333,10
2016-10-22 02:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.76,19.3,2.372381,5.43,24.0,1,28.7,1.388888889,10
2016-10-22 02:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.76,19.1,2.372381,5.48,23.8,1,28.6,1.666666667,10
2016-10-22 02:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.75,19.0,2.326788,5.53,23.2,1,29.4,1.111111111,10
2016-10-22 02:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.75,18.8,2.372381,5.61,22.8,1,30.2,0.555555556,10
2016-10-22 03:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.75,18.5,2.372381,5.73,22.0,1,31.4,1.111111111,10
2016-10-22 03:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,18.3,2.326788,5.75,22.3,1,31.5,1.111111111,10
2016-10-22 03:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,18.2,2.326788,5.82,22.5,1,31.4,1.388888889,10
2016-10-22 04:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,18.0,2.326788,5.9,22.5,1,31.5,1.944444444,10
2016-10-22 04:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,17.9,2.326788,5.93,22.2,1,32.2,1.944444444,10
2016-10-22 04:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,17.8,2.326788,5.98,22.0,1,32.2,1.111111111,10
2016-10-22 04:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,17.6,2.235532,6.02,21.4,1,33.0,0.277777778,10
2016-10-22 05:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.73,17.5,2.235532,6.1,20.5,1,34.1,0.0,10
2016-10-22 05:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,17.3,2.235532,6.2,20.1,1,34.5,0.0,10
2016-10-22 05:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,17.2,2.235532,6.22,19.7,1,35.2,0.0,10
2016-10-22 05:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,17.1,2.235532,6.27,19.6,1,35.5,0.0,10
2016-10-22 06:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.73,17.0,2.235532,6.3,19.7,1,35.5,0.0,10
2016-10-22 06:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.73,16.8,2.463637,6.36,19.9,1,34.6,0.0,10
2016-10-22 06:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,16.8,7.299796,6.43,20.4,1,33.7,0.0,10
2016-10-22 06:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.74,16.6,29.51868,6.56,20.5,2,33.9,0.0,10
2016-10-22 07:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.75,16.6,81.62128,6.88,20.5,3,35.7,0.0,10
2016-10-22 07:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.76,16.6,166.5275,7.38,20.6,8,35.6,0.0,10
2016-10-22 07:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.79,16.7,255.1293,8.01,20.7,28,35.4,0.0,10
2016-10-22 08:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.87,17.4,459.2966,9.6,21.8,113,35.1,0.0,10
2016-10-22 08:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.91,17.6,563.7756,10.48,23.1,159,32.7,0.0,10
2016-10-22 08:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.96,17.8,668.6651,11.34,23.6,206,31.9,0.0,10
2016-10-22 08:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,18.0,774.9689,12.24,24.3,254,32.1,0.0,10
2016-10-22 09:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,18.2,867.905,13.02,25.5,302,31.8,0.0,10
2016-10-22 09:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,18.5,956.9174,13.67,26.5,351,31.0,0.277777778,10
2016-10-22 09:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,18.8,1033.566,14.25,27.5,398,27.7,0.0,10
2016-10-22 09:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,19.2,1125.452,14.77,28.6,443,26.3,0.833333333,10
2016-10-22 10:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,19.6,1203.241,15.14,29.2,481,25.2,1.388888889,10
2016-10-22 15:30:00,AFS_ASU_Fall2016_KA32_seedtrain,8.0,26.8,814.753,15.19,37.3,488,16.7,0.833333333,10
2016-10-22 15:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,26.7,715.7491,14.59,37.1,445,16.2,0.555555556,10
2016-10-22 16:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,26.7,606.4796,13.93,37.1,402,16.6,0.833333333,10
2016-10-22 16:15:00,AFS_ASU_Fall2016_KA32_seedtrain,8.0,26.6,504.2362,13.27,36.6,358,16.3,0.833333333,10
2016-10-22 16:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,26.6,401.3997,12.7,36.2,308,16.8,0.833333333,10
2016-10-22 16:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.99,26.4,302.1676,11.97,36.0,258,17.5,0.555555556,10
2016-10-22 17:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.97,26.3,211.0109,11.31,35.6,211,18.2,1.111111111,10
2016-10-22 17:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.97,26.3,116.9343,10.39,35.1,163,18.5,0.555555556,10
2016-10-22 17:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.97,26.1,49.09142,9.56,34.2,120,19.5,0.277777778,10
2016-10-22 17:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.97,26.0,14.55407,8.73,32.8,71,22.1,0.0,10
2016-10-22 18:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.95,25.8,3.786817,7.99,31.6,29,24.6,0.0,10
2016-10-22 18:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.95,25.6,2.828662,7.37,30.6,7,25.6,0.0,10
2016-10-22 18:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.93,25.5,2.783069,6.86,29.6,2,27.9,0.0,10
