LocationID; Date; Time; ;Parameter; Method;; Unit; Value; Comment
BGD00001;1979-03-22;09:00;0.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1979-11-14;10:40;1.0;O2-Dis;O2-ISE;;6.4;mg/l;Fair
BGD00001;1980-01-04;10:15;1.0;O2-Dis;O2-ISE;;4.8;mg/l;Fair
BGD00001;1980-02-14;09:40;1.0;TEMP;TEMP-Hg;;22.0;°C;Fair
BGD00001;1980-02-14;09:40;1.0;BOD;BOD-T-COL-AZD;;1.4;mg/l;Fair
BGD00001;1980-05-08;12:50;1.0;TEMP;TEMP-Hg;;31.1;°C;Fair
BGD00001;1980-06-18;09:15;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1980-08-18;09:20;1.0;BOD;BOD-T-COL-AZD;;1.8;mg/l;Fair
BGD00001;1980-08-18;09:20;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1980-08-18;09:20;1.0;TEMP;TEMP-Hg;;28.9;°C;Fair
BGD00001;1981-02-14;09:40;1.0;BOD;BOD-T-COL-AZD;;1.5;mg/l;Fair
BGD00001;1981-02-14;09:40;1.0;O2-Dis;O2-ISE;;6.0;mg/l;Fair
BGD00001;1981-04-18;10:45;1.0;BOD;BOD-T-COL-AZD;;2.3;mg/l;Fair
BGD00001;1981-05-07;09:30;1.0;O2-Dis;O2-ISE;;4.8;mg/l;Fair
BGD00001;1981-06-12;12:15;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1982-02-12;10:30;1.0;BOD;BOD-T-COL-AZD;;1.5;mg/l;Fair
BGD00001;1982-04-17;09:20;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1982-05-14;08:40;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00001;1982-07-15;09:40;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00001;1982-09-14;09:00;1.0;O2-Dis;O2-ISE;;6.0;mg/l;Fair
BGD00001;1982-09-14;09:00;1.0;pH;pH-POT-25;;7.1;---;Fair
BGD00001;1983-03-20;11:00;1.0;BOD;BOD-T-COL-AZD;;1.4;mg/l;Fair
BGD00001;1983-07-16;09:00;1.0;O2-Dis;O2-ISE;;7.8;mg/l;Fair
BGD00001;1983-09-22;08:00;1.0;BOD;BOD-T-COL-AZD;;2.6;mg/l;Fair
BGD00001;1983-09-22;08:00;1.0;TEMP;TEMP-Hg;;31.0;°C;Fair
BGD00001;1983-11-23;11:00;1.0;BOD;BOD-T-COL-AZD;;3.1;mg/l;Fair
BGD00001;1984-01-27;08:00;1.0;O2-Dis;O2-ISE;;7.2;mg/l;Fair
BGD00001;1984-09-30;12:00;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1984-09-30;12:00;1.0;O2-Dis;O2-ISE;;7.4;mg/l;Fair
BGD00001;1984-09-30;12:00;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00001;1988-10-13;11:10;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00001;1988-12-22;00:15;1.0;pH;pH-POT-25;;7.0;---;Fair
