owner_ammonia,platform,lat,lon,verticalDatum (m),nitrogen,dissolvedOxygen,qcFlag_ammonia,qcFlag_DO,water_temperature (C),qcFlag,time,hour,previous_ammonia
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.64,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.08233816367739637
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.64,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.64,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.91,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.91,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.91,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.54,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.54,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.54,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.14,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.14,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.14,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.44,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.44,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.44,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.48,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.48,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.48,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.42,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.42,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.42,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.91,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.91,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.91,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.5,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.5,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,7.5,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.53,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.53,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.0,9.53,2.0,1.0,26.71,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.01,7.64,2.0,1.0,26.72,1.0,2011-09-13 15:36:00+00:00,15.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0161,30.1395,-88.9789,0.0,0.01,7.64,2.0,1.0,26.7,1.0,2011-09-13 15:36:00+00:00,15.0,0.01
