time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),surface_pressure (hPa),windspeed_10m (km/h),direct_radiation (W/m²),diffuse_radiation (W/m²)
2017-04-01T00:00,13.2,98,0.00,1017.0,8.3,0.0,0.0
2017-04-01T01:00,13.2,96,0.00,1017.3,8.1,0.0,0.0
2017-04-01T02:00,14.6,92,0.00,1017.5,9.3,8.0,39.0
2017-04-01T03:00,17.3,83,0.00,1017.8,11.6,68.0,134.0
2017-04-01T04:00,19.3,67,0.00,1017.3,13.7,244.0,171.0
2017-04-01T05:00,20.7,57,0.00,1017.0,12.0,357.0,213.0
2017-04-01T06:00,21.7,53,0.00,1017.2,13.4,399.0,257.0
2017-04-01T07:00,22.5,50,0.00,1016.4,15.9,571.0,193.0
2017-04-01T08:00,22.8,50,0.00,1015.6,17.9,691.0,108.0
2017-04-01T09:00,22.7,51,0.00,1014.9,19.5,624.0,100.0
2017-04-01T10:00,22.2,53,0.00,1014.7,20.8,509.0,83.0
2017-04-01T11:00,21.1,57,0.00,1014.4,21.9,337.0,70.0
2017-04-01T12:00,19.9,61,0.00,1014.6,21.3,146.0,50.0
2017-04-01T13:00,18.6,68,0.00,1014.5,18.8,14.0,11.0
2017-04-01T14:00,17.9,71,0.00,1014.8,16.9,0.0,0.0
2017-04-01T15:00,17.5,72,0.00,1014.6,14.4,0.0,0.0
2017-04-01T16:00,17.1,75,0.00,1014.8,13.4,0.0,0.0
2017-04-01T17:00,16.7,79,0.00,1014.7,13.5,0.0,0.0
2017-04-01T18:00,16.3,83,0.00,1014.4,11.3,0.0,0.0
2017-04-01T19:00,15.8,88,0.00,1013.6,9.1,0.0,0.0
2017-04-01T20:00,15.1,92,0.00,1013.6,10.2,0.0,0.0
2017-04-01T21:00,14.8,94,0.00,1013.4,9.8,0.0,0.0
2017-04-01T22:00,14.8,96,0.00,1013.4,8.5,0.0,0.0
2017-04-01T23:00,15.1,96,0.00,1013.0,5.4,0.0,0.0
2017-04-02T00:00,15.3,97,0.00,1013.1,2.9,0.0,0.0
2017-04-02T01:00,15.1,97,0.00,1013.4,3.3,0.0,0.0
2017-04-02T02:00,13.9,98,0.00,1013.6,4.0,40.0,24.0
2017-04-02T03:00,16.6,89,0.00,1013.9,5.9,194.0,62.0
2017-04-02T04:00,18.5,75,0.00,1013.9,7.7,364.0,88.0
2017-04-02T05:00,20.0,64,0.00,1013.7,10.5,540.0,87.0
2017-04-02T06:00,21.1,55,0.00,1013.8,13.7,658.0,89.0
2017-04-02T07:00,21.8,50,0.00,1013.4,16.4,707.0,94.0
2017-04-02T08:00,22.1,49,0.00,1013.1,18.0,698.0,91.0
2017-04-02T09:00,21.9,50,0.00,1012.8,18.8,623.0,87.0
2017-04-02T10:00,21.3,53,0.00,1013.1,19.6,493.0,80.0
2017-04-02T11:00,20.5,58,0.00,1013.4,19.6,326.0,67.0
2017-04-02T12:00,19.5,64,0.00,1014.0,16.9,139.0,48.0
2017-04-02T13:00,18.4,72,0.00,1014.4,12.4,13.0,9.0
2017-04-02T14:00,17.9,75,0.00,1015.2,10.7,0.0,0.0
2017-04-02T15:00,17.6,80,0.00,1015.3,10.9,0.0,0.0
2017-04-02T16:00,17.3,82,0.00,1015.3,12.6,0.0,0.0
2017-04-02T17:00,17.1,83,0.00,1015.1,13.0,0.0,0.0
2017-04-02T18:00,16.7,86,0.00,1015.1,11.5,0.0,0.0
2017-04-02T19:00,16.5,87,0.00,1015.4,10.5,0.0,0.0
2017-04-02T20:00,16.1,90,0.00,1016.1,10.8,0.0,0.0
2017-04-02T21:00,16.2,89,0.00,1015.9,10.6,0.0,0.0
2017-04-02T22:00,16.4,88,0.00,1015.8,11.4,0.0,0.0
2017-04-02T23:00,16.4,88,0.00,1015.5,12.2,0.0,0.0
2017-04-03T00:00,16.6,86,0.00,1015.4,11.4,0.0,0.0
2017-04-03T01:00,16.8,85,0.00,1015.8,10.4,0.0,0.0
2017-04-03T02:00,17.3,82,0.00,1016.1,9.7,3.0,15.0
2017-04-03T03:00,18.5,73,0.00,1016.5,8.8,8.0,77.0
2017-04-03T04:00,19.8,67,0.00,1016.5,7.0,44.0,155.0
2017-04-03T05:00,21.1,66,0.00,1016.4,5.5,123.0,204.0
2017-04-03T06:00,22.0,65,0.00,1015.5,3.9,181.0,267.0
2017-04-03T07:00,22.9,63,0.00,1014.8,5.9,284.0,304.0
2017-04-03T08:00,23.5,62,0.00,1014.0,9.2,493.0,190.0
2017-04-03T09:00,23.7,62,0.00,1013.4,11.6,566.0,118.0
2017-04-03T10:00,23.0,65,0.00,1013.3,13.7,487.0,77.0
2017-04-03T11:00,21.9,71,0.00,1013.3,14.7,318.0,65.0
2017-04-03T12:00,20.5,78,0.00,1013.4,13.2,130.0,46.0
2017-04-03T13:00,19.2,85,0.00,1013.5,10.3,11.0,9.0
2017-04-03T14:00,18.5,89,0.00,1014.0,8.0,0.0,0.0
2017-04-03T15:00,18.4,90,0.00,1013.9,5.4,0.0,0.0
2017-04-03T16:00,17.9,94,0.00,1014.3,3.3,0.0,0.0
2017-04-03T17:00,18.0,94,0.00,1014.5,1.5,0.0,0.0
2017-04-03T18:00,16.6,99,0.00,1014.4,2.9,0.0,0.0
2017-04-03T19:00,16.0,100,0.00,1014.2,5.8,0.0,0.0
2017-04-03T20:00,16.3,99,0.00,1014.2,7.2,0.0,0.0
2017-04-03T21:00,16.4,99,0.00,1014.4,7.2,0.0,0.0
2017-04-03T22:00,16.5,99,0.00,1013.9,7.6,0.0,0.0
2017-04-03T23:00,16.6,100,0.00,1014.2,8.9,0.0,0.0
2017-04-04T00:00,16.8,99,0.00,1014.3,9.0,0.0,0.0
2017-04-04T01:00,16.9,99,0.20,1014.6,9.0,0.0,0.0
2017-04-04T02:00,17.1,99,0.40,1015.3,9.4,3.0,15.0
2017-04-04T03:00,17.8,96,0.20,1016.1,10.2,16.0,80.0
2017-04-04T04:00,18.9,89,0.20,1016.4,11.6,114.0,157.0
2017-04-04T05:00,19.8,82,0.10,1016.3,13.4,271.0,162.0
2017-04-04T06:00,20.4,77,0.00,1015.7,11.3,309.0,177.0
2017-04-04T07:00,21.0,72,0.00,1015.5,11.2,319.0,253.0
2017-04-04T08:00,21.3,69,0.00,1014.9,11.9,402.0,199.0
2017-04-04T09:00,21.1,68,0.00,1014.8,13.7,335.0,170.0
2017-04-04T10:00,21.0,67,0.00,1014.9,14.4,324.0,117.0
2017-04-04T11:00,20.4,67,0.00,1014.8,13.0,226.0,109.0
2017-04-04T12:00,19.5,71,0.00,1014.8,10.6,92.0,67.0
2017-04-04T13:00,18.2,79,0.00,1015.0,7.1,6.0,11.0
2017-04-04T14:00,17.4,84,0.00,1015.3,6.3,0.0,0.0
2017-04-04T15:00,16.6,90,0.00,1015.6,6.2,0.0,0.0
2017-04-04T16:00,16.0,93,0.00,1015.9,6.1,0.0,0.0
2017-04-04T17:00,15.8,94,0.00,1016.2,6.1,0.0,0.0
2017-04-04T18:00,15.9,95,0.00,1016.4,6.8,0.0,0.0
2017-04-04T19:00,16.0,95,0.00,1016.4,5.7,0.0,0.0
2017-04-04T20:00,14.9,97,0.00,1016.0,4.9,0.0,0.0
2017-04-04T21:00,14.0,98,0.00,1015.6,5.4,0.0,0.0
2017-04-04T22:00,13.6,99,0.00,1015.2,6.5,0.0,0.0
2017-04-04T23:00,13.5,99,0.00,1015.2,6.9,0.0,0.0
2017-04-05T00:00,13.1,100,0.00,1016.1,6.4,0.0,0.0
2017-04-05T01:00,13.1,100,0.00,1016.7,5.5,0.0,0.0
2017-04-05T02:00,14.7,98,0.00,1017.3,7.6,16.0,24.0
2017-04-05T03:00,17.1,88,0.00,1018.2,7.4,121.0,86.0
2017-04-05T04:00,19.0,79,0.00,1018.8,9.8,210.0,145.0
2017-04-05T05:00,20.5,63,0.00,1018.8,13.0,434.0,119.0
2017-04-05T06:00,21.2,57,0.00,1018.3,11.9,502.0,125.0
2017-04-05T07:00,21.5,55,0.00,1018.4,14.7,499.0,151.0
2017-04-05T08:00,21.2,59,0.20,1018.5,18.7,461.0,162.0
2017-04-05T09:00,20.3,66,0.20,1018.8,20.9,291.0,205.0
2017-04-05T10:00,19.4,69,0.00,1019.2,23.2,200.0,141.0
2017-04-05T11:00,18.5,67,0.00,1020.1,26.3,112.0,86.0
2017-04-05T12:00,17.7,64,0.00,1020.5,28.5,61.0,50.0
2017-04-05T13:00,16.7,64,0.00,1021.3,27.2,4.0,6.0
2017-04-05T14:00,16.0,63,0.00,1021.8,26.8,0.0,0.0
2017-04-05T15:00,15.9,63,0.00,1022.0,27.0,0.0,0.0
2017-04-05T16:00,15.5,63,0.00,1022.5,27.7,0.0,0.0
2017-04-05T17:00,15.2,63,0.00,1022.7,28.5,0.0,0.0
2017-04-05T18:00,15.0,61,0.00,1022.2,26.9,0.0,0.0
2017-04-05T19:00,14.9,60,0.00,1022.0,27.2,0.0,0.0
2017-04-05T20:00,14.8,59,0.00,1021.7,26.6,0.0,0.0
2017-04-05T21:00,14.7,59,0.00,1021.3,25.6,0.0,0.0
2017-04-05T22:00,14.6,58,0.00,1020.6,25.5,0.0,0.0
2017-04-05T23:00,14.6,59,0.00,1019.9,24.3,0.0,0.0
2017-04-06T00:00,14.5,60,0.00,1020.0,23.7,0.0,0.0
2017-04-06T01:00,14.3,61,0.00,1019.8,22.7,0.0,0.0
2017-04-06T02:00,14.9,60,0.00,1020.0,22.2,36.0,23.0
2017-04-06T03:00,16.6,54,0.00,1020.1,26.0,200.0,57.0
2017-04-06T04:00,18.3,48,0.00,1020.1,25.4,392.0,77.0
2017-04-06T05:00,19.9,43,0.00,1019.7,24.6,567.0,78.0
2017-04-06T06:00,21.4,40,0.00,1019.0,18.2,690.0,74.0
2017-04-06T07:00,22.6,37,0.00,1017.7,18.3,721.0,87.0
2017-04-06T08:00,23.6,35,0.00,1017.2,19.5,708.0,86.0
2017-04-06T09:00,24.1,34,0.00,1016.2,21.2,637.0,79.0
2017-04-06T10:00,24.0,35,0.00,1015.5,24.3,498.0,76.0
2017-04-06T11:00,23.2,38,0.00,1015.1,27.1,319.0,66.0
2017-04-06T12:00,21.7,44,0.00,1014.9,26.9,128.0,46.0
2017-04-06T13:00,19.9,49,0.00,1015.0,28.8,9.0,7.0
2017-04-06T14:00,18.6,54,0.00,1015.2,29.5,0.0,0.0
2017-04-06T15:00,18.1,57,0.00,1015.5,29.1,0.0,0.0
2017-04-06T16:00,17.4,60,0.00,1015.4,28.8,0.0,0.0
2017-04-06T17:00,16.9,63,0.00,1015.5,29.1,0.0,0.0
2017-04-06T18:00,16.6,65,0.00,1015.3,25.3,0.0,0.0
2017-04-06T19:00,16.4,67,0.00,1014.7,27.8,0.0,0.0
2017-04-06T20:00,16.2,68,0.00,1014.7,28.0,0.0,0.0
2017-04-06T21:00,16.2,69,0.00,1014.0,26.3,0.0,0.0
2017-04-06T22:00,16.1,71,0.00,1013.6,24.3,0.0,0.0
2017-04-06T23:00,15.9,73,0.00,1013.4,21.9,0.0,0.0
2017-04-07T00:00,15.9,74,0.00,1013.4,20.4,0.0,0.0
2017-04-07T01:00,15.9,74,0.00,1013.2,19.9,0.0,0.0
2017-04-07T02:00,16.5,72,0.00,1013.4,22.2,37.0,20.0
2017-04-07T03:00,18.2,63,0.00,1013.5,25.7,199.0,55.0
2017-04-07T04:00,20.3,54,0.00,1013.4,28.2,390.0,71.0
2017-04-07T05:00,22.2,47,0.00,1012.9,30.5,539.0,83.0
2017-04-07T06:00,23.6,43,0.00,1012.6,23.2,623.0,88.0
2017-04-07T07:00,24.7,41,0.00,1011.7,23.7,662.0,104.0
2017-04-07T08:00,25.6,39,0.00,1010.6,24.3,660.0,94.0
2017-04-07T09:00,25.9,40,0.00,1010.4,25.9,599.0,83.0
2017-04-07T10:00,25.1,45,0.00,1009.7,28.0,471.0,77.0
2017-04-07T11:00,24.0,50,0.00,1009.4,29.3,295.0,70.0
2017-04-07T12:00,22.7,57,0.00,1009.4,28.8,114.0,47.0
2017-04-07T13:00,21.4,64,0.00,1009.3,29.4,7.0,7.0
2017-04-07T14:00,20.7,69,0.00,1009.7,27.5,0.0,0.0
2017-04-07T15:00,20.5,67,0.00,1009.8,25.1,0.0,0.0
2017-04-07T16:00,20.0,70,0.00,1009.8,23.8,0.0,0.0
2017-04-07T17:00,19.7,72,0.00,1009.6,22.5,0.0,0.0
2017-04-07T18:00,19.4,74,0.00,1009.5,20.3,0.0,0.0
2017-04-07T19:00,19.3,75,0.00,1009.6,17.5,0.0,0.0
2017-04-07T20:00,19.3,76,0.10,1009.5,15.9,0.0,0.0
2017-04-07T21:00,19.1,78,0.30,1009.5,15.2,0.0,0.0
2017-04-07T22:00,18.9,80,0.30,1008.8,14.7,0.0,0.0
2017-04-07T23:00,18.8,82,0.10,1008.9,14.1,0.0,0.0
2017-04-08T00:00,18.6,84,0.50,1009.3,12.3,0.0,0.0
2017-04-08T01:00,18.5,85,0.40,1008.8,14.3,0.0,0.0
2017-04-08T02:00,18.9,83,0.40,1009.3,14.3,26.0,19.0
2017-04-08T03:00,21.0,73,0.00,1009.8,12.6,137.0,63.0
2017-04-08T04:00,23.8,59,0.00,1009.9,12.0,310.0,82.0
2017-04-08T05:00,26.8,49,0.00,1009.7,14.2,468.0,98.0
2017-04-08T06:00,29.5,41,0.00,1009.0,8.8,614.0,90.0
2017-04-08T07:00,30.5,37,0.00,1008.3,6.1,615.0,107.0
2017-04-08T08:00,31.0,34,0.00,1007.6,3.8,635.0,94.0
2017-04-08T09:00,31.1,32,0.00,1007.3,6.3,568.0,90.0
2017-04-08T10:00,30.6,30,0.00,1007.1,7.6,438.0,80.0
2017-04-08T11:00,28.7,36,0.00,1006.5,9.7,225.0,75.0
2017-04-08T12:00,25.8,46,0.00,1006.4,7.2,106.0,43.0
2017-04-08T13:00,22.9,57,0.00,1006.1,4.4,6.0,6.0
2017-04-08T14:00,21.6,64,0.00,1006.9,1.3,0.0,0.0
2017-04-08T15:00,23.1,64,0.00,1007.4,10.5,0.0,0.0
2017-04-08T16:00,21.0,70,0.00,1008.2,17.8,0.0,0.0
2017-04-08T17:00,19.8,72,0.00,1008.9,18.4,0.0,0.0
2017-04-08T18:00,18.7,74,0.00,1008.6,14.2,0.0,0.0
2017-04-08T19:00,18.1,75,0.00,1008.9,13.4,0.0,0.0
2017-04-08T20:00,17.4,77,0.00,1009.4,13.8,0.0,0.0
2017-04-08T21:00,16.7,79,0.00,1009.3,13.2,0.0,0.0
2017-04-08T22:00,15.9,83,0.00,1009.2,13.1,0.0,0.0
2017-04-08T23:00,15.4,85,0.00,1009.6,13.6,0.0,0.0
2017-04-09T00:00,15.1,84,0.00,1010.1,14.9,0.0,0.0
2017-04-09T01:00,14.7,86,0.00,1010.8,16.0,0.0,0.0
