dvd_created_at,dvd_do,dvd_tds,dvd_temp,dvd_ammonia
"2023-08-01 13:32:24.000000",9.092,67.34,34.7,0.78352
"2023-08-01 13:16:22.000000",9.112,66.89,34.6,0.7663
"2023-08-01 13:00:20.000000",9.129,66.01,34.6,0.7494
"2023-08-01 12:44:19.000000",9.075,66.89,34.41,0.69137
"2023-08-01 12:28:18.000000",9.163,66.89,34.41,0.60781
"2023-08-01 11:56:10.000000",8.831,66.01,34.6,0.71325
"2023-08-01 11:40:05.000000",8.884,66.89,34.7,0.6551
"2023-08-01 11:24:02.000000",8.869,66.45,34.6,0.67415
"2023-08-01 11:07:59.000000",8.878,66.01,34.41,0.67138
"2023-08-01 10:35:48.000000",8.605,66.01,34.32,0.64938
"2023-08-01 10:19:45.000000",8.596,65.13,34.13,0.66726
"2023-08-01 10:03:43.000000",8.62,65.57,34.03,0.64498
"2023-08-01 09:47:40.000000",8.29,65.13,33.84,0.64208
"2023-08-01 09:31:37.000000",8.273,64.26,33.84,0.66296
"2023-08-01 09:15:34.000000",8.267,65.13,33.66,0.68061
"2023-08-01 08:59:32.000000",7.933,66.89,33.56,0.67916
"2023-08-01 08:43:29.000000",7.933,66.01,33.56,0.67916
"2023-08-01 08:27:27.000000",7.938,66.89,33.47,0.67785
"2023-08-01 08:11:25.000000",7.929,66.89,33.38,0.69635
"2023-08-01 07:55:23.000000",7.593,66.89,33.38,0.75144
"2023-08-01 07:39:21.000000",7.632,66.89,33.28,0.69494
"2023-08-01 07:23:20.000000",7.658,67.79,33.28,0.65455
"2023-08-01 07:07:18.000000",7.645,67.34,33.28,0.67507
"2023-08-01 06:51:17.000000",7.397,67.34,33.28,0.69494
"2023-08-01 06:35:17.000000",7.42,66.89,33.28,0.65455
"2023-08-01 06:19:16.000000",7.387,66.45,33.28,0.71411
"2023-08-01 06:03:16.000000",7.359,66.01,33.28,0.76705
"2023-08-01 05:47:17.000000",7.24,66.89,33.28,0.71411
"2023-08-01 03:06:38.000000",7.114,65.57,33.56,0.81559
"2023-08-01 02:50:39.000000",7.161,65.57,33.56,0.78626
"2023-08-01 02:34:40.000000",7.157,64.69,33.56,0.80133
"2023-08-01 02:18:41.000000",7.155,65.57,33.66,0.78738
"2023-08-01 02:02:41.000000",7.151,65.13,33.66,0.80239
"2023-08-01 01:46:42.000000",7.212,65.57,33.66,0.80239
"2023-07-31 23:54:18.000000",7.267,64.26,33.84,0.83167
"2023-07-31 23:38:19.000000",7.267,64.26,33.84,0.83167
"2023-07-31 23:22:20.000000",7.287,64.26,33.94,0.80534
"2023-07-31 23:06:21.000000",7.287,63.83,33.94,0.80534
"2023-07-31 22:50:22.000000",7.391,64.26,34.03,0.80627
"2023-07-31 22:34:23.000000",7.377,64.26,34.03,0.82026
"2023-07-31 22:18:24.000000",7.365,64.26,34.03,0.83344
"2023-07-31 21:46:21.000000",7.559,64.26,34.13,0.82123
"2023-07-31 21:30:21.000000",7.547,63.4,34.13,0.83436
"2023-07-31 19:53:58.000000",8.019,67.79,34.98,0.85388
"2023-07-31 19:37:57.000000",8.019,67.34,34.98,0.85388
"2023-07-31 19:21:55.000000",8.004,66.89,35.08,0.86577
"2023-07-31 19:05:53.000000",8.004,67.34,35.08,0.86577
"2023-07-31 18:49:51.000000",8.31,66.89,35.17,0.84367
"2023-07-31 18:33:50.000000",8.337,66.89,35.17,0.81781
"2023-07-31 18:17:48.000000",8.365,66.45,35.27,0.78984
"2023-07-31 18:01:45.000000",8.36,66.45,35.37,0.79094
"2023-07-31 17:45:42.000000",8.684,66.01,35.37,0.74159
"2023-07-31 17:29:38.000000",8.726,66.45,35.46,0.70599
"2023-07-31 15:04:15.000000",9.088,63.83,35.17,0.72091
"2023-07-31 14:48:10.000000",9.137,64.69,35.27,0.74033
"2023-07-31 14:32:05.000000",9.104,62.97,35.17,0.77299
"2023-07-31 14:16:01.000000",9.126,66.01,35.08,0.75533
"2023-07-31 13:59:56.000000",9.106,67.34,35.08,0.75533
"2023-07-31 13:43:52.000000",9.191,66.01,34.98,0.67966
"2023-07-31 13:27:46.000000",9.218,66.01,34.89,0.65794
"2023-07-31 11:18:33.000000",9.024,65.57,34.13,0.53573
"2023-07-31 11:02:28.000000",9.056,65.57,33.94,0.50961
"2023-07-31 10:46:24.000000",8.755,66.45,33.84,0.50794
"2023-07-31 10:30:19.000000",8.759,65.57,33.75,0.50644
"2023-07-31 08:37:21.000000",8.187,66.01,33.19,0.36256
"2023-07-31 08:21:17.000000",8.191,66.01,33.1,0.36117
"2023-07-31 08:05:14.000000",8.232,66.01,33.1,0.30015
"2023-07-31 07:49:11.000000",7.873,66.45,33.1,0.3402
"2023-07-31 07:33:09.000000",7.838,66.01,33.0,0.40305
"2023-07-31 07:17:08.000000",7.808,66.01,33.0,0.44804
"2023-07-31 07:01:07.000000",7.808,66.01,33.0,0.44804
"2023-07-31 06:45:07.000000",7.54,66.45,33.0,0.47091
"2023-07-31 06:29:07.000000",7.527,66.01,33.0,0.49391
"2023-07-31 06:13:08.000000",7.494,66.01,33.1,0.54154
"2023-07-31 05:57:09.000000",7.307,66.01,33.0,0.60734
"2023-07-31 05:41:10.000000",7.324,66.01,33.1,0.5643
"2023-07-31 05:25:11.000000",7.335,66.01,33.1,0.54154
"2023-07-31 05:09:11.000000",7.301,66.01,33.1,0.60894
"2023-07-31 04:53:12.000000",7.235,66.01,33.1,0.5868
"2023-07-31 04:37:13.000000",7.217,66.01,33.1,0.63064
"2023-07-31 04:21:15.000000",7.23,66.01,33.19,0.58826
"2023-07-31 04:05:15.000000",7.239,66.01,33.19,0.56578
"2023-07-31 03:49:16.000000",7.205,66.45,33.19,0.61037
"2023-07-31 03:33:17.000000",7.199,66.01,33.28,0.6118
"2023-07-31 03:17:18.000000",7.207,66.01,33.28,0.58972
"2023-07-31 03:01:19.000000",7.207,66.01,33.28,0.58972
"2023-07-31 02:45:19.000000",7.219,66.01,33.28,0.63344
"2023-07-31 02:29:21.000000",7.213,66.01,33.38,0.63499
"2023-07-31 02:13:22.000000",7.207,66.01,33.38,0.65606
"2023-07-31 01:57:23.000000",7.263,66.01,33.47,0.61481
"2023-07-31 01:41:23.000000",7.263,66.01,33.47,0.61481
"2023-07-31 01:25:24.000000",7.263,66.01,33.47,0.61481
"2023-07-31 01:09:25.000000",7.262,66.01,33.56,0.59424
"2023-07-31 00:53:25.000000",7.309,66.45,33.56,0.63777
"2023-07-31 00:37:26.000000",7.301,66.01,33.66,0.66027
"2023-07-31 00:21:26.000000",7.289,66.45,33.66,0.73748
"2023-07-31 00:05:26.000000",7.295,66.45,33.66,0.70029
"2023-07-30 23:49:27.000000",7.449,66.89,33.75,0.66161
"2023-07-30 23:33:26.000000",7.669,66.45,33.75,0.48342
"2023-07-30 23:17:26.000000",7.64,66.89,33.75,0.50644
"2023-07-30 21:57:00.000000",7.788,67.34,34.03,0.62362
"2023-07-30 21:40:58.000000",7.845,67.34,34.03,0.5795
"2023-07-30 21:24:57.000000",8.165,67.79,34.13,0.33498
"2023-07-30 21:08:56.000000",7.901,67.79,34.13,0.53573
"2023-07-30 20:52:55.000000",8.44,67.34,34.22,0.31608
"2023-07-30 20:36:53.000000",8.412,67.79,34.32,0.3378
"2023-07-30 20:20:52.000000",8.358,67.79,34.32,0.38015
"2023-07-30 20:04:50.000000",8.077,67.79,34.41,0.58565
"2023-07-30 19:48:49.000000",8.421,67.34,34.41,0.54036
"2023-07-30 19:32:48.000000",8.448,68.69,34.51,0.51907
"2023-07-30 19:16:46.000000",8.48,67.79,34.51,0.49606
"2023-07-30 19:00:44.000000",8.537,67.79,34.7,0.45329
"2023-07-30 18:44:42.000000",8.996,67.79,34.7,0.323
"2023-07-30 18:28:40.000000",9.016,67.34,34.79,0.30446
"2023-07-30 18:12:38.000000",9.053,66.89,34.89,0.26821
"2023-07-30 17:56:34.000000",9.327,67.34,34.89,0.25052
"2023-07-30 17:40:29.000000",9.311,66.45,34.89,0.26821
"2023-07-30 17:24:24.000000",9.272,66.89,34.89,0.30587
"2023-07-30 10:25:07.000000",9.015,65.57,33.19,0.36256
"2023-07-30 08:48:23.000000",8.979,66.45,32.63,0.33316
"2023-07-30 08:32:21.000000",8.971,66.45,32.54,0.33182
"2023-07-30 08:16:17.000000",8.983,66.45,32.54,0.31172
"2023-07-30 08:00:14.000000",8.964,66.01,32.45,0.33048
"2023-07-30 07:44:11.000000",8.952,66.45,32.45,0.35117
"2023-07-30 07:28:09.000000",8.952,66.01,32.45,0.35117
"2023-07-30 07:12:06.000000",8.952,66.01,32.45,0.35117
"2023-07-30 06:56:04.000000",8.921,66.01,32.36,0.39275
"2023-07-30 06:40:03.000000",8.898,66.01,32.36,0.43744
"2023-07-30 06:24:01.000000",8.874,66.45,32.36,0.48317
"2023-07-30 06:08:02.000000",8.863,65.57,32.36,0.50619
"2023-07-30 05:52:03.000000",8.847,65.57,32.45,0.55355
"2023-07-30 05:36:03.000000",8.847,63.83,32.45,0.55355
"2023-07-30 05:20:04.000000",8.859,65.57,32.45,0.53069
"2023-07-30 05:04:05.000000",8.835,65.13,32.45,0.57618
"2023-07-30 03:11:40.000000",8.851,65.13,32.63,0.57913
"2023-07-30 02:55:41.000000",8.862,66.01,32.63,0.55654
"2023-07-30 02:39:42.000000",8.862,66.01,32.63,0.55654
"2023-07-30 02:23:43.000000",8.874,66.89,32.63,0.5337
"2023-07-30 02:07:44.000000",8.874,66.01,32.63,0.5337
"2023-07-30 01:51:45.000000",8.906,66.01,32.73,0.48938
"2023-07-29 23:59:18.000000",8.937,66.45,32.82,0.44506
"2023-07-29 23:43:19.000000",8.937,66.01,32.82,0.44506
"2023-07-29 23:27:19.000000",8.937,66.01,32.82,0.44506
