time,temperature_2m (°C),relativehumidity_2m (%),diffuse_radiation (W/m²)
2023-06-06T00:00,28.7,82,0.0
2023-06-06T01:00,28.2,87,0.0
2023-06-06T02:00,28.0,90,0.0
2023-06-06T03:00,27.8,92,0.0
2023-06-06T04:00,27.6,94,0.0
2023-06-06T05:00,27.4,95,0.0
2023-06-06T06:00,27.6,95,24.0
2023-06-06T07:00,29.4,88,73.0
2023-06-06T08:00,31.0,80,133.0
2023-06-06T09:00,32.7,74,166.0
2023-06-06T10:00,34.5,62,192.0
2023-06-06T11:00,35.7,54,224.0
2023-06-06T12:00,35.8,52,239.0
2023-06-06T13:00,37.1,47,241.0
2023-06-06T14:00,37.8,43,260.0
2023-06-06T15:00,37.7,42,223.0
2023-06-06T16:00,37.4,43,179.0
2023-06-06T17:00,36.8,45,120.0
2023-06-06T18:00,35.5,52,70.0
2023-06-06T19:00,34.0,68,12.0
2023-06-06T20:00,33.2,69,0.0
2023-06-06T21:00,32.3,70,0.0
2023-06-06T22:00,31.3,71,0.0
2023-06-06T23:00,30.2,75,0.0
2023-06-07T00:00,29.4,81,0.0
2023-06-07T01:00,28.8,84,0.0
2023-06-07T02:00,28.5,87,0.0
2023-06-07T03:00,28.1,89,0.0
2023-06-07T04:00,28.0,90,0.0
2023-06-07T05:00,27.8,92,0.0
2023-06-07T06:00,27.8,92,25.0
2023-06-07T07:00,29.4,87,103.0
2023-06-07T08:00,31.1,82,169.0
2023-06-07T09:00,32.8,74,227.0
2023-06-07T10:00,33.9,66,305.0
2023-06-07T11:00,34.6,61,388.0
2023-06-07T12:00,34.9,59,384.0
2023-06-07T13:00,35.8,54,412.0
2023-06-07T14:00,35.6,54,392.0
2023-06-07T15:00,35.3,55,322.0
2023-06-07T16:00,34.8,57,232.0
2023-06-07T17:00,34.4,58,167.0
2023-06-07T18:00,33.3,67,90.0
2023-06-07T19:00,31.6,76,13.0
2023-06-07T20:00,30.6,82,0.0
2023-06-07T21:00,30.1,84,0.0
2023-06-07T22:00,29.7,85,0.0
2023-06-07T23:00,29.4,87,0.0
2023-06-08T00:00,29.1,88,0.0
2023-06-08T01:00,28.9,90,0.0
2023-06-08T02:00,28.7,92,0.0
2023-06-08T03:00,28.5,93,0.0
2023-06-08T04:00,28.4,94,0.0
2023-06-08T05:00,28.3,95,0.0
2023-06-08T06:00,28.8,95,18.0
2023-06-08T07:00,29.7,92,81.0
2023-06-08T08:00,30.0,90,120.0
2023-06-08T09:00,29.7,90,145.0
2023-06-08T10:00,29.6,90,136.0
2023-06-08T11:00,30.6,86,331.0
2023-06-08T12:00,31.6,80,352.0
2023-06-08T13:00,31.2,85,256.0
2023-06-08T14:00,30.6,88,197.0
2023-06-08T15:00,29.8,91,157.0
2023-06-08T16:00,29.8,91,165.0
2023-06-08T17:00,29.8,91,128.0
2023-06-08T18:00,29.7,92,61.0
2023-06-08T19:00,29.1,95,9.0
2023-06-08T20:00,28.6,97,0.0
2023-06-08T21:00,28.4,98,0.0
2023-06-08T22:00,28.2,98,0.0
2023-06-08T23:00,28.0,97,0.0
2023-06-09T00:00,27.4,97,0.0
2023-06-09T01:00,27.2,97,0.0
2023-06-09T02:00,27.0,97,0.0
2023-06-09T03:00,27.0,97,0.0
2023-06-09T04:00,26.9,97,0.0
2023-06-09T05:00,26.8,97,0.0
2023-06-09T06:00,27.1,97,10.0
2023-06-09T07:00,27.3,95,63.0
2023-06-09T08:00,27.6,94,111.0
2023-06-09T09:00,28.0,93,154.0
2023-06-09T10:00,28.3,93,256.0
2023-06-09T11:00,28.5,91,280.0
2023-06-09T12:00,29.0,87,178.0
2023-06-09T13:00,29.3,86,306.0
2023-06-09T14:00,29.8,84,321.0
2023-06-09T15:00,30.5,79,310.0
2023-06-09T16:00,30.4,80,226.0
2023-06-09T17:00,29.9,81,165.0
2023-06-09T18:00,28.3,88,82.0
2023-06-09T19:00,27.7,92,10.0
2023-06-09T20:00,27.3,94,0.0
2023-06-09T21:00,27.0,95,0.0
2023-06-09T22:00,26.8,96,0.0
2023-06-09T23:00,26.7,96,0.0
2023-06-10T00:00,26.0,96,0.0
2023-06-10T01:00,25.9,95,0.0
2023-06-10T02:00,25.8,96,0.0
2023-06-10T03:00,25.7,96,0.0
2023-06-10T04:00,25.7,97,0.0
2023-06-10T05:00,25.7,97,0.0
2023-06-10T06:00,25.7,97,7.0
2023-06-10T07:00,26.4,94,60.0
2023-06-10T08:00,27.5,88,166.0
2023-06-10T09:00,28.8,82,263.0
2023-06-10T10:00,29.6,77,284.0
2023-06-10T11:00,29.7,78,272.0
2023-06-10T12:00,29.4,79,293.0
2023-06-10T13:00,30.3,74,393.0
2023-06-10T14:00,29.3,78,220.0
2023-06-10T15:00,27.5,91,128.0
2023-06-10T16:00,26.1,93,55.0
2023-06-10T17:00,25.5,95,39.0
2023-06-10T18:00,25.6,96,15.0
2023-06-10T19:00,25.3,97,3.0
2023-06-10T20:00,25.3,97,0.0
2023-06-10T21:00,25.3,97,0.0
2023-06-10T22:00,25.4,97,0.0
2023-06-10T23:00,25.4,97,0.0
2023-06-11T00:00,25.3,97,0.0
2023-06-11T01:00,25.3,98,0.0
2023-06-11T02:00,25.3,98,0.0
2023-06-11T03:00,25.3,98,0.0
2023-06-11T04:00,25.2,98,0.0
2023-06-11T05:00,25.1,98,0.0
2023-06-11T06:00,25.4,97,10.0
2023-06-11T07:00,25.7,96,54.0
2023-06-11T08:00,26.5,94,119.0
2023-06-11T09:00,27.2,93,172.0
2023-06-11T10:00,27.6,91,196.0
2023-06-11T11:00,28.0,90,239.0
2023-06-11T12:00,29.2,82,309.0
2023-06-11T13:00,29.9,80,325.0
2023-06-11T14:00,30.0,79,283.0
2023-06-11T15:00,29.8,80,284.0
2023-06-11T16:00,29.3,82,228.0
2023-06-11T17:00,28.9,84,178.0
2023-06-11T18:00,28.5,86,86.0
2023-06-11T19:00,27.8,90,13.0
2023-06-11T20:00,27.3,91,0.0
2023-06-11T21:00,26.9,92,0.0
2023-06-11T22:00,26.7,93,0.0
2023-06-11T23:00,26.5,94,0.0
2023-06-12T00:00,26.2,95,0.0
2023-06-12T01:00,26.0,95,0.0
2023-06-12T02:00,25.8,95,0.0
2023-06-12T03:00,25.8,95,0.0
2023-06-12T04:00,25.7,96,0.0
2023-06-12T05:00,25.6,95,0.0
2023-06-12T06:00,25.6,95,12.0
2023-06-12T07:00,26.6,92,84.0
2023-06-12T08:00,27.2,92,131.0
2023-06-12T09:00,27.9,90,178.0
2023-06-12T10:00,28.8,88,253.0
2023-06-12T11:00,30.0,85,278.0
2023-06-12T12:00,31.7,78,326.0
2023-06-12T13:00,32.2,74,279.0
2023-06-12T14:00,31.9,75,231.0
2023-06-12T15:00,31.7,77,232.0
2023-06-12T16:00,31.6,78,187.0
2023-06-12T17:00,30.9,80,139.0
2023-06-12T18:00,29.0,89,76.0
2023-06-12T19:00,28.6,92,15.0
2023-06-12T20:00,28.3,92,0.0
2023-06-12T21:00,27.9,93,0.0
2023-06-12T22:00,27.5,94,0.0
2023-06-12T23:00,27.3,95,0.0
2023-06-13T00:00,26.5,96,0.0
2023-06-13T01:00,26.4,96,0.0
2023-06-13T02:00,26.2,96,0.0
2023-06-13T03:00,26.2,96,0.0
2023-06-13T04:00,26.2,96,0.0
2023-06-13T05:00,26.2,97,0.0
2023-06-13T06:00,26.3,96,13.0
2023-06-13T07:00,26.9,95,79.0
2023-06-13T08:00,28.2,89,125.0
2023-06-13T09:00,29.1,85,183.0
2023-06-13T10:00,30.7,78,211.0
2023-06-13T11:00,32.0,73,258.0
2023-06-13T12:00,32.9,71,295.0
2023-06-13T13:00,33.4,68,281.0
2023-06-13T14:00,33.7,67,275.0
2023-06-13T15:00,33.4,70,204.0
2023-06-13T16:00,32.1,74,186.0
2023-06-13T17:00,31.1,76,173.0
2023-06-13T18:00,30.9,80,85.0
2023-06-13T19:00,29.9,81,15.0
2023-06-13T20:00,29.2,86,0.0
2023-06-13T21:00,28.8,89,0.0
2023-06-13T22:00,28.5,90,0.0
2023-06-13T23:00,28.1,92,0.0
2023-06-14T00:00,28.1,93,0.0
2023-06-14T01:00,28.1,94,0.0
2023-06-14T02:00,28.0,94,0.0
2023-06-14T03:00,28.1,94,0.0
2023-06-14T04:00,27.6,91,0.0
2023-06-14T05:00,27.6,95,0.0
2023-06-14T06:00,27.7,93,11.0
2023-06-14T07:00,28.4,91,90.0
2023-06-14T08:00,28.8,87,138.0
2023-06-14T09:00,30.0,82,242.0
2023-06-14T10:00,31.1,77,355.0
2023-06-14T11:00,32.4,71,423.0
2023-06-14T12:00,33.4,66,396.0
2023-06-14T13:00,34.7,59,433.0
2023-06-14T14:00,34.9,57,387.0
2023-06-14T15:00,35.0,57,335.0
2023-06-14T16:00,33.7,63,249.0
