time,temperature_2m (°C),precipitation_probability (%),diffuse_radiation (W/m²)
2023-06-20T00:00,26.4,58,0.0
2023-06-20T01:00,26.2,46,0.0
2023-06-20T02:00,26.2,35,0.0
2023-06-20T03:00,26.1,23,0.0
2023-06-20T04:00,26.1,26,0.0
2023-06-20T05:00,26.1,29,0.0
2023-06-20T06:00,26.3,32,15.0
2023-06-20T07:00,27.1,41,71.0
2023-06-20T08:00,28.2,49,125.0
2023-06-20T09:00,29.0,58,207.0
2023-06-20T10:00,30.0,63,283.0
2023-06-20T11:00,30.4,69,276.0
2023-06-20T12:00,32.7,74,298.0
2023-06-20T13:00,33.1,75,311.0
2023-06-20T14:00,33.2,76,278.0
2023-06-20T15:00,32.3,77,242.0
2023-06-20T16:00,32.0,64,252.0
2023-06-20T17:00,30.9,52,198.0
2023-06-20T18:00,29.5,39,93.0
2023-06-20T19:00,28.8,38,13.0
2023-06-20T20:00,28.3,36,0.0
2023-06-20T21:00,28.0,35,0.0
2023-06-20T22:00,27.8,41,0.0
2023-06-20T23:00,27.6,46,0.0
2023-06-21T00:00,27.5,52,0.0
2023-06-21T01:00,27.4,55,0.0
2023-06-21T02:00,27.2,58,0.0
2023-06-21T03:00,26.9,61,0.0
2023-06-21T04:00,26.8,60,0.0
2023-06-21T05:00,26.7,59,0.0
2023-06-21T06:00,27.2,58,15.0
2023-06-21T07:00,28.0,50,95.0
2023-06-21T08:00,28.9,43,139.0
2023-06-21T09:00,29.7,35,225.0
2023-06-21T10:00,30.8,50,315.0
2023-06-21T11:00,31.0,66,350.0
2023-06-21T12:00,32.9,81,404.0
2023-06-21T13:00,33.3,87,384.0
2023-06-21T14:00,32.9,94,324.0
2023-06-21T15:00,32.4,100,325.0
2023-06-21T16:00,31.8,99,290.0
2023-06-21T17:00,31.1,98,180.0
2023-06-21T18:00,30.2,97,93.0
2023-06-21T19:00,29.4,92,15.0
2023-06-21T20:00,28.7,86,0.0
2023-06-21T21:00,28.3,81,0.0
2023-06-21T22:00,28.0,63,0.0
2023-06-21T23:00,27.8,44,0.0
2023-06-22T00:00,27.6,26,0.0
2023-06-22T01:00,27.3,43,0.0
2023-06-22T02:00,27.1,60,0.0
2023-06-22T03:00,26.9,77,0.0
2023-06-22T04:00,26.8,64,0.0
2023-06-22T05:00,26.6,52,0.0
2023-06-22T06:00,26.9,39,8.0
2023-06-22T07:00,27.0,55,66.0
2023-06-22T08:00,27.9,71,174.0
2023-06-22T09:00,29.1,87,242.0
2023-06-22T10:00,30.0,87,289.0
2023-06-22T11:00,30.9,87,309.0
2023-06-22T12:00,32.1,87,328.0
2023-06-22T13:00,32.1,74,269.0
2023-06-22T14:00,31.2,61,269.0
2023-06-22T15:00,30.2,48,189.0
2023-06-22T16:00,30.5,55,237.0
2023-06-22T17:00,30.6,61,205.0
2023-06-22T18:00,29.6,68,100.0
2023-06-22T19:00,28.6,45,17.0
2023-06-22T20:00,28.2,23,0.0
2023-06-22T21:00,27.9,0,0.0
2023-06-22T22:00,27.5,1,0.0
2023-06-22T23:00,27.1,2,0.0
2023-06-23T00:00,26.8,3,0.0
2023-06-23T01:00,26.7,26,0.0
2023-06-23T02:00,26.6,48,0.0
2023-06-23T03:00,26.5,71,0.0
2023-06-23T04:00,26.4,61,0.0
2023-06-23T05:00,26.2,52,0.0
2023-06-23T06:00,26.5,42,17.0
