time,temperature_2m (°C),relativehumidity_2m (%),diffuse_radiation (W/m²)
2023-06-06T00:00,29.2,85,0.0
2023-06-06T01:00,28.7,88,0.0
2023-06-06T02:00,28.3,90,0.0
2023-06-06T03:00,28.0,91,0.0
2023-06-06T04:00,27.7,93,0.0
2023-06-06T05:00,27.4,94,0.0
2023-06-06T06:00,27.7,94,18.0
2023-06-06T07:00,29.5,87,66.0
2023-06-06T08:00,31.0,81,116.0
2023-06-06T09:00,32.6,74,179.0
2023-06-06T10:00,34.6,63,236.0
2023-06-06T11:00,36.4,53,298.0
2023-06-06T12:00,36.8,50,297.0
2023-06-06T13:00,37.7,45,268.0
2023-06-06T14:00,38.1,44,275.0
2023-06-06T15:00,38.1,43,247.0
2023-06-06T16:00,37.9,43,197.0
2023-06-06T17:00,37.5,43,127.0
2023-06-06T18:00,35.8,54,81.0
2023-06-06T19:00,33.9,66,14.0
2023-06-06T20:00,32.6,67,0.0
2023-06-06T21:00,31.4,72,0.0
2023-06-06T22:00,30.8,76,0.0
2023-06-06T23:00,30.1,80,0.0
2023-06-07T00:00,29.5,84,0.0
2023-06-07T01:00,29.2,89,0.0
2023-06-07T02:00,29.0,92,0.0
2023-06-07T03:00,28.8,95,0.0
2023-06-07T04:00,28.6,97,0.0
2023-06-07T05:00,28.6,98,0.0
2023-06-07T06:00,28.5,95,19.0
2023-06-07T07:00,30.1,90,86.0
2023-06-07T08:00,31.6,83,179.0
2023-06-07T09:00,33.0,77,262.0
2023-06-07T10:00,34.2,69,389.0
2023-06-07T11:00,34.9,65,433.0
2023-06-07T12:00,34.1,67,367.0
2023-06-07T13:00,32.2,75,281.0
2023-06-07T14:00,33.1,74,309.0
2023-06-07T15:00,33.0,72,329.0
2023-06-07T16:00,32.7,74,246.0
2023-06-07T17:00,32.1,78,123.0
2023-06-07T18:00,33.3,71,75.0
2023-06-07T19:00,31.5,79,12.0
2023-06-07T20:00,30.6,84,0.0
2023-06-07T21:00,30.2,86,0.0
2023-06-07T22:00,30.0,87,0.0
2023-06-07T23:00,29.7,88,0.0
2023-06-08T00:00,29.4,89,0.0
2023-06-08T01:00,29.0,91,0.0
2023-06-08T02:00,28.8,93,0.0
2023-06-08T03:00,28.6,94,0.0
2023-06-08T04:00,28.5,95,0.0
2023-06-08T05:00,28.3,96,0.0
2023-06-08T06:00,29.2,94,17.0
2023-06-08T07:00,30.1,91,74.0
2023-06-08T08:00,31.1,87,142.0
2023-06-08T09:00,31.8,84,173.0
2023-06-08T10:00,31.8,81,244.0
2023-06-08T11:00,30.7,87,198.0
2023-06-08T12:00,29.1,93,150.0
2023-06-08T13:00,28.6,94,156.0
2023-06-08T14:00,28.9,92,236.0
2023-06-08T15:00,29.2,90,222.0
2023-06-08T16:00,29.3,90,185.0
2023-06-08T17:00,29.2,91,123.0
2023-06-08T18:00,30.2,93,71.0
2023-06-08T19:00,29.6,95,11.0
2023-06-08T20:00,29.2,96,0.0
2023-06-08T21:00,29.0,97,0.0
2023-06-08T22:00,28.8,97,0.0
2023-06-08T23:00,28.7,97,0.0
2023-06-09T00:00,28.0,96,0.0
2023-06-09T01:00,27.9,97,0.0
2023-06-09T02:00,27.8,97,0.0
2023-06-09T03:00,27.7,97,0.0
2023-06-09T04:00,27.7,98,0.0
2023-06-09T05:00,27.5,97,0.0
2023-06-09T06:00,28.1,98,8.0
2023-06-09T07:00,28.1,97,44.0
2023-06-09T08:00,28.1,96,62.0
2023-06-09T09:00,28.0,96,90.0
2023-06-09T10:00,27.9,96,110.0
2023-06-09T11:00,28.5,93,171.0
2023-06-09T12:00,30.0,86,259.0
2023-06-09T13:00,30.1,85,250.0
2023-06-09T14:00,30.1,85,201.0
2023-06-09T15:00,29.4,89,116.0
