datetime,experimentid_x,ph,temperature_oc,par_umol_photons_m2_s,dissolved_oxygen_mg_l,airtemp_oc,global_light_energy_w_m2,humid_rh,wdspd_m_s
2016-10-19 17:15:00,AFS_ASU_Fall2016_KA32_seedtrain,6.79,24.6,141.343,11.53,32.3,187,17.9,0.833333333
2016-10-19 17:30:00,AFS_ASU_Fall2016_KA32_seedtrain,6.88,24.7,54.6119,10.91,31.5,138,18.6,0.833333333
2016-10-19 17:45:00,AFS_ASU_Fall2016_KA32_seedtrain,6.95,24.4,19.70952,10.3,30.5,88,20.1,0.277777778
2016-10-19 18:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.02,24.2,4.744832,9.74,30.0,37,20.4,0.0
2016-10-19 18:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.09,24.1,2.691813,9.22,29.2,10,22.5,0.0
2016-10-19 18:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.15,23.9,2.600557,8.78,28.2,2,23.5,0.0
2016-10-19 18:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.21,23.8,2.418044,8.47,27.3,1,25.0,0.0
2016-10-19 19:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.26,23.6,2.463637,8.24,26.7,1,24.7,0.0
2016-10-19 19:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.31,23.5,2.50937,8.06,26.3,1,24.9,0.0
2016-10-19 19:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.36,23.3,2.50937,8.0,26.1,1,25.8,0.0
2016-10-19 19:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.41,23.1,2.50937,7.9,25.8,1,26.3,0.0
2016-10-19 20:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.44,22.9,2.463637,7.9,25.8,1,26.3,0.0
2016-10-19 20:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.48,22.8,2.418044,7.82,25.9,1,26.4,0.277777778
2016-10-19 20:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.51,22.6,2.418044,7.83,25.7,1,26.6,0.0
2016-10-19 20:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.54,22.5,2.418044,7.8,24.8,1,27.6,0.0
2016-10-19 21:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.57,22.3,2.418044,7.83,23.9,1,28.5,0.0
2016-10-19 21:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.59,22.1,2.372381,7.81,23.5,1,28.1,0.277777778
2016-10-19 21:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.62,21.9,2.372381,7.83,22.9,1,28.9,0.0
2016-10-19 21:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.64,21.7,2.326788,7.84,22.8,1,28.6,0.0
2016-10-19 22:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,21.5,2.326788,7.89,22.2,1,29.1,0.0
2016-10-19 22:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,21.3,2.326788,7.84,21.7,1,30.6,0.0
2016-10-19 22:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,21.1,2.281195,7.65,21.4,1,32.1,0.0
2016-10-19 22:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.9,2.326788,7.53,21.5,1,30.7,0.0
2016-10-19 23:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.8,2.326788,7.43,21.2,1,31.2,0.0
2016-10-19 23:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.6,2.326788,7.35,20.9,1,33.1,0.0
2016-10-19 23:30:00,AFS_ASU_Fall2016_KA32_seedtrain,7.68,20.4,2.326788,7.28,20.9,1,32.8,0.0
2016-10-19 23:45:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.2,2.281195,7.26,21.5,1,30.3,0.277777778
2016-10-20 00:00:00,AFS_ASU_Fall2016_KA32_seedtrain,7.68,20.1,2.235532,7.22,21.5,1,28.3,0.0
2016-10-20 00:15:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,19.9,2.235532,7.15,21.2,1,28.3,0.0
