experimentid,datetime,airtemp_oc,global_light_energy_w_m2,humid_rh,wdspd_m_s
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T00:00:00,21.1,1,38.1,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T00:15:00,20.9,1,40.1,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T00:30:00,21.0,1,40.7,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T00:45:00,20.4,1,42.1,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T01:00:00,19.9,1,41.2,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T01:15:00,19.3,1,43.1,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T01:30:00,19.0,1,43.5,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T01:45:00,18.8,1,44.7,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T02:00:00,18.7,1,43.4,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T02:15:00,19.0,1,40.9,0.277777778
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T02:30:00,18.8,1,41.6,1.388888889
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T02:45:00,18.6,1,43.1,0.555555556
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T03:00:00,18.6,1,42.9,1.111111111
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T03:15:00,18.6,1,42.4,0.555555556
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T03:30:00,18.4,1,42.6,0.277777778
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T03:45:00,18.1,1,43.2,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T04:00:00,17.7,1,43.9,0.277777778
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T04:15:00,17.4,1,41.8,1.111111111
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T04:30:00,17.2,1,41.0,1.111111111
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T04:45:00,16.9,1,42.0,0.833333333
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T05:00:00,16.9,1,42.7,1.111111111
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T05:15:00,17.2,1,42.4,0.555555556
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T05:30:00,17.2,1,42.0,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T05:45:00,17.0,1,41.9,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T06:00:00,16.7,1,41.9,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T06:15:00,16.6,1,43.5,0.555555556
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T06:30:00,17.0,1,43.5,1.111111111
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T06:45:00,17.0,1,43.5,1.388888889
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T07:00:00,16.9,3,44.1,0.555555556
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T07:15:00,16.6,10,45.0,0.833333333
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T07:30:00,16.4,36,45.3,0.833333333
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T07:45:00,16.7,82,45.5,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T08:00:00,18.1,131,43.2,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T08:15:00,19.7,178,39.7,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T08:30:00,21.0,228,36.5,0.0
AFS_ASU_Fall2016_KA32_seedtrain,2016-10-19T08:45:00,21.8,278,34.3,0.0
