datetime,experimentid,ph,temperature_oc,par_umol_photons_m2_s,dissolved_oxygen_mg_l
2016-10-19T17:17:00,AFS_ASU_Fall2016_KA32_seedtrain,6.79,24.6,141.343,11.53
2016-10-19T17:32:00,AFS_ASU_Fall2016_KA32_seedtrain,6.88,24.7,54.6119,10.91
2016-10-19T17:47:00,AFS_ASU_Fall2016_KA32_seedtrain,6.95,24.4,19.70952,10.3
2016-10-19T18:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.02,24.2,4.744832,9.74
2016-10-19T18:17:00,AFS_ASU_Fall2016_KA32_seedtrain,7.09,24.1,2.691813,9.22
2016-10-19T18:32:00,AFS_ASU_Fall2016_KA32_seedtrain,7.15,23.9,2.600557,8.78
2016-10-19T18:47:00,AFS_ASU_Fall2016_KA32_seedtrain,7.21,23.8,2.418044,8.47
2016-10-19T19:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.26,23.6,2.463637,8.24
2016-10-19T19:17:00,AFS_ASU_Fall2016_KA32_seedtrain,7.31,23.5,2.50937,8.06
2016-10-19T19:32:00,AFS_ASU_Fall2016_KA32_seedtrain,7.36,23.3,2.50937,8.0
2016-10-19T19:47:00,AFS_ASU_Fall2016_KA32_seedtrain,7.41,23.1,2.50937,7.9
2016-10-19T20:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.44,22.9,2.463637,7.9
2016-10-19T20:17:00,AFS_ASU_Fall2016_KA32_seedtrain,7.48,22.8,2.418044,7.82
2016-10-19T20:32:00,AFS_ASU_Fall2016_KA32_seedtrain,7.51,22.6,2.418044,7.83
2016-10-19T20:47:00,AFS_ASU_Fall2016_KA32_seedtrain,7.54,22.5,2.418044,7.8
2016-10-19T21:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.57,22.3,2.418044,7.83
2016-10-19T21:17:00,AFS_ASU_Fall2016_KA32_seedtrain,7.59,22.1,2.372381,7.81
2016-10-19T21:32:00,AFS_ASU_Fall2016_KA32_seedtrain,7.62,21.9,2.372381,7.83
2016-10-19T21:47:00,AFS_ASU_Fall2016_KA32_seedtrain,7.64,21.7,2.326788,7.84
2016-10-19T22:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,21.5,2.326788,7.89
2016-10-19T22:17:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,21.3,2.326788,7.84
2016-10-19T22:32:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,21.1,2.281195,7.65
2016-10-19T22:47:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.9,2.326788,7.53
2016-10-19T23:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.8,2.326788,7.43
2016-10-19T23:17:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.6,2.326788,7.35
2016-10-19T23:32:00,AFS_ASU_Fall2016_KA32_seedtrain,7.68,20.4,2.326788,7.28
2016-10-19T23:47:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,20.2,2.281195,7.26
2016-10-20T00:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.68,20.1,2.235532,7.22
2016-10-20T00:17:00,AFS_ASU_Fall2016_KA32_seedtrain,7.67,19.9,2.235532,7.15
2016-10-20T00:32:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,19.7,2.235532,7.11
2016-10-20T00:47:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,19.5,2.189939,7.09
2016-10-20T01:02:00,AFS_ASU_Fall2016_KA32_seedtrain,7.66,19.3,2.144346,7.12
